Old Order	Current order	Taxon Order	Category	English Name	French Name	Scientific Name	Order	Family	Taxon	Location	S/P	Date	LocID	SubID	Exotic	Countable
1058	1186	16950	species	Acadian Flycatcher	Moucherolle vert	Empidonax virescens	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16950	"8.6042x-80.0880 - Nov 13, 2016, 7:51 AM"	PA-8	13-Nov-16	L5079093	S32519336		1
1828	865	11146	species	Acorn Woodpecker	Pic glandivore	Melanerpes formicivorus	Piciformes	Picidae (Woodpeckers)	11146	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
1457	1348	19676	species	African Black-headed Oriole	Loriot masqu	Oriolus larvatus	Passeriformes	Oriolidae (Old World Orioles)	19676	Kruger NP--Letaba-Olifants Rd	ZA-LP	25-Sep-14	L2355950	S20317879		1
1356	649	7875	species	African Cuckoo-Hawk	Baza coucou	Aviceda cuculoides	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	7875	St Lucia--iMfolozi River mouth	ZA-NL	04-Oct-14	L4209873	S20614058		1
1416	560	7370	species	African Darter	Anhinga d'Afrique	Anhinga rufa	Suliformes	Anhingidae (Anhingas)	7370	Kruger NP--southern section (please be more specific)	ZA-MP	28-Sep-14	L972510	S20390197		1
1405	1697	31416	species	African Firefinch	Amarante fonc	Lagonosticta rubricata	Passeriformes	Estrildidae (Waxbills and Allies)	31416	Kruger NP--southern section (please be more specific)	ZA-MP	28-Sep-14	L972510	S20390197		1
1463	692	8374	species	African Fish-Eagle	Pygargue vocifer	Icthyophaga vocifer	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8374	Kruger NP--Letaba-Olifants Rd	ZA-LP	25-Sep-14	L2355950	S20317879		1
1376	1669	30798	species	African Golden-Weaver	Tisserin jaune	Ploceus subaureus	Passeriformes	Ploceidae (Weavers and Allies)	30798	St Lucia--iMfolozi River mouth	ZA-NL	02-Oct-14	L4209873	S20565478		1
1318	675	8118	species	African Goshawk	Autour tachiro	Aerospiza tachiro	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8118	Moremi--Khwai River (north side)	BW-NW	13-Oct-14	L1220375	S20696955		1
1995	1632	28852	species	African Gray Flycatcher	Gobemouche  petit bec	Bradornis microrhynchus	Passeriformes	Muscicapidae (Old World Flycatchers)	28852	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
1908	774	9664	species	African Gray Hornbill	Calao  bec noir	Lophoceros nasutus	Bucerotiformes	Bucerotidae (Hornbills)	9664	Erongo Lodge	NA-ER	12-Jun-07	L17656026	S102100868		1
1468	161	2548	species	African Green-Pigeon	Colombar  front nu	Treron calvus	Columbiformes	Columbidae (Pigeons and Doves)	2548	Kruger NP--Letaba-Olifants Rd	ZA-LP	25-Sep-14	L2355950	S20317879		1
