ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
655695537,Photo,Vesper Sparrow,Pooecetes gramineus,,,Denis Rivard,2026-04-22,2026,4,22,1524,Canada,CA-ON-PR,Ontario,Prescott and Russell,Alfred Sewage Lagoons,45.5474162,-74.8568916,"",,Unspecified,false,false,,,,,,,S325689387,"",,,,,Pooecetes gramineus,vesspa,Species,33217,,.00,0,,1152,2048
655695466,Photo,Swamp Sparrow,Melospiza georgiana,,,Denis Rivard,2026-04-18,2026,4,18,927,Canada,CA-ON-OT,Ontario,Ottawa,Richmond CA (formerly Richmond Sewage Lagoons),45.1988932,-75.8206550,"",,Unspecified,false,false,,,,,,,S323572203,"",,,,,Melospiza georgiana,swaspa,Species,33315,,.00,0,,1152,2048
655695408,Photo,Rusty Blackbird,Euphagus carolinus,,,Denis Rivard,2026-04-22,2026,4,22,952,Canada,CA-ON-OT,Ontario,Ottawa,Richmond CA (formerly Richmond Sewage Lagoons),45.1988932,-75.8206550,"",,Unspecified,false,false,,,,,,,S325521201,"",,,,,Euphagus carolinus,rusbla,Species,33848,,.00,0,,1152,2048
655695359,Photo,Ring-necked Duck,Aythya collaris,,,Denis Rivard,2026-04-22,2026,4,22,1524,Canada,CA-ON-PR,Ontario,Prescott and Russell,Alfred Sewage Lagoons,45.5474162,-74.8568916,"",,Unspecified,false,false,,,,,,,S325689387,"",,,,,Aythya collaris,rinduc,Species,673,,.00,0,,1152,2048
655695291,Photo,Evening Grosbeak,Hesperiphona vespertina,,,Denis Rivard,2026-03-19,2026,3,19,1415,Canada,CA-ON-PR,Ontario,Prescott and Russell,Front Road W,45.6305740,-74.6664390,"",,Unspecified,false,false,,,,,,,S310713663,"",,,,,Hesperiphona vespertina,evegro,Species,32085,,.00,0,,1152,2048
655695283,Photo,Evening Grosbeak,Hesperiphona vespertina,,,Denis Rivard,2026-03-19,2026,3,19,1415,Canada,CA-ON-PR,Ontario,Prescott and Russell,Front Road W,45.6305740,-74.6664390,"",,Unspecified,false,false,,,,,,,S310713663,"",,,,,Hesperiphona vespertina,evegro,Species,32085,,.00,0,,1152,2048
655695171,Photo,Redpoll,Acanthis flammea,,,Denis Rivard,2026-03-17,2026,3,17,854,Canada,CA-ON-PR,Ontario,Prescott and Russell,Front Road W,45.6305740,-74.6664390,"",,Unspecified,false,false,,,,,,,S310065516,"",,,,,Acanthis flammea,redpol1,Species,32483,,.00,0,,1152,2048
655695060,Photo,American Woodcock,Scolopax minor,,,Denis Rivard,2026-04-18,2026,4,18,1733,Canada,CA-ON-PR,Ontario,Prescott and Russell,Alfred Sewage Lagoons,45.5474162,-74.8568916,"",,Unspecified,false,false,,,,,,,S323778617,"",,,,,Scolopax minor,amewoo,Species,6064,,.00,0,,1152,2048
655695052,Photo,American Woodcock,Scolopax minor,,,Denis Rivard,2026-04-18,2026,4,18,1733,Canada,CA-ON-PR,Ontario,Prescott and Russell,Alfred Sewage Lagoons,45.5474162,-74.8568916,"",,Unspecified,false,false,,,,,,,S323778617,"",,,,,Scolopax minor,amewoo,Species,6064,,.00,0,,1152,2048
653966383,Photo,Familiar Chat,Oenanthe familiaris,,,Denis Rivard,2014-09-24,2014,9,24,700,South Africa,ZA-LP,Limpopo,,Kruger NP--Letaba-Olifants Rd,-23.9473511,31.6148758,"",,Unspecified,false,false,,,,,,,S20314308,"",,,,,Oenanthe familiaris,famcha1,Species,29830,,.00,0,,1423,2529
652478875,Photo,American Three-toed Woodpecker,Picoides dorsalis,,,Denis Rivard,2026-03-05,2026,3,5,1302,Canada,CA-QC-QU,Quebec,Québec,Base de plein air de Ste-Foy,46.7906725,-71.3303447,"",,Unspecified,false,false,,,,,,,S306257654,"",,,,,Picoides dorsalis,attwoo1,Species,11216,,.00,0,,1688,3000
652477870,Photo,Pileated Woodpecker,Dryocopus pileatus,,,Denis Rivard,2026-03-05,2026,3,5,1302,Canada,CA-QC-QU,Quebec,Québec,Base de plein air de Ste-Foy,46.7906725,-71.3303447,Adult Male – 1,,Unspecified,false,false,,,,,,,S306257654,"",,,,,Dryocopus pileatus,pilwoo,Species,11762,,.00,0,,5333,3000
652413435,Photo,Black-backed Woodpecker,Picoides arcticus,,,Denis Rivard,2026-03-06,2026,3,6,1500,Canada,CA-QC-QU,Quebec,Québec,Base de plein air de Ste-Foy,46.7906725,-71.3303447,"",,Unspecified,false,false,,,,,,,S306571307,"",,,,,Picoides arcticus,bkbwoo,Species,11220,,5.00,7,,1687,3000
