21597471	American Coot-21597471	American Coot (Red-shielded)	5500	American Coot	Foulque d'Amérique	Fulica americana	Gruiformes	Rallidae (Rails, Gallinules, and Coots)
70135381	Red-necked Grebe-70135381	Red-necked Grebe	6869	Red-necked Grebe	Grèbe jougris	Podiceps grisegena	Podicipediformes	Podicipedidae (Grebes)
70136741	Parasitic Jaeger-70136741	Parasitic Jaeger	6361	Parasitic Jaeger	Labbe parasite	Stercorarius parasiticus	Charadriiformes	Stercorariidae (Skuas and Jaegers)
76289111	Great Egret-76289111	Great Egret (modesta)	7729	Great Egret	Grande Aigrette	Ardea alba	Pelecaniformes	Ardeidae (Herons, Egrets, and Bitterns)
77068161	Iceland Gull-77068161	Iceland Gull	6606	Iceland Gull	Goéland arctique	Larus glaucoides	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
77113691	Common Raven-77113691	Common Raven	21624	Common Raven	Grand Corbeau	Corvus corax	Passeriformes	Corvidae (Crows, Jays, and Magpies)
77194601	Brown-headed Honeyeater-77194601	Brown-headed Honeyeater	18132	Brown-headed Honeyeater	Méliphage à tête brune	Melithreptus brevirostris	Passeriformes	Meliphagidae (Honeyeaters)
77376651	White-cheeked Honeyeater-77376651	White-cheeked Honeyeater	18108	White-cheeked Honeyeater	Méliphage fardé	Phylidonyris niger	Passeriformes	Meliphagidae (Honeyeaters)
79476701	Cozumel Emerald-79476701	Cozumel Emerald	4882	Cozumel Emerald	Émeraude de Cozumel	Cynanthus forficatus	Apodiformes	Trochilidae (Hummingbirds)
79496601	Black Catbird-79496601	Black Catbird	27999	Black Catbird	Moqueur noir	Melanoptila glabrirostris	Passeriformes	Mimidae (Mockingbirds and Thrashers)
79499331	Couch's Kingbird-79499331	Couch's Kingbird	17459	Couch's Kingbird	Tyran de Couch	Tyrannus couchii	Passeriformes	Tyrannidae (Tyrant Flycatchers)
79545541	Yucatan Woodpecker-79545541	Yucatan Woodpecker	11167	Yucatan Woodpecker	Pic du Yucatan	Melanerpes pygmaeus	Piciformes	Picidae (Woodpeckers)
79546941	Western Spindalis-79546941	Western Spindalis (Cozumel I.)	33540	Western Spindalis	Zéna à tête rayée	Spindalis zena	Passeriformes	Phaenicophilidae (Greater Antillean Tanagers)
79570781	Mangrove Yellow Warbler-79570781	Mangrove Yellow Warbler (Cozumel)	34097	Mangrove Yellow Warbler	Paruline des mangroves	Setophaga petechia	Passeriformes	Parulidae (New World Warblers)
79642081	Cozumel Vireo-79642081	Cozumel Vireo	19191	Cozumel Vireo	Viréo de Cozumel	Vireo bairdi	Passeriformes	Vireonidae (Vireos, Shrike-Babblers, and Erpornis)
79643501	Gray-crowned Yellowthroat-79643501	Gray-crowned Yellowthroat	33992	Gray-crowned Yellowthroat	Paruline à calotte grise	Geothlypis poliocephala	Passeriformes	Parulidae (New World Warblers)
79645371	Crested Caracara-79645371	Crested Caracara (Northern)	11962	Crested Caracara	Caracara huppé	Caracara plancus	Falconiformes	Falconidae (Falcons and Caracaras)
124360531	Black Phoebe-124360531	Black Phoebe	16998	Black Phoebe	Moucherolle noir	Sayornis nigricans	Passeriformes	Tyrannidae (Tyrant Flycatchers)
124365731	Bushtit-124365731	Bushtit	25253	Bushtit	Orite buissonnière	Psaltriparus minimus	Passeriformes	Aegithalidae (Long-tailed Tits)
124560931	Wrentit-124560931	Wrentit	25431	Wrentit	Cama brune	Chamaea fasciata	Passeriformes	Paradoxornithidae (Parrotbills)
124714131	Hudsonian Whimbrel-124714131	Hudsonian Whimbrel	6011	Hudsonian Whimbrel	Courlis hudsonien	Numenius hudsonicus	Charadriiformes	Scolopacidae (Sandpipers and Allies)
125949611	Red-breasted Sapsucker-125949611	Red-breasted Sapsucker	11130	Red-breasted Sapsucker	Pic à poitrine rouge	Sphyrapicus ruber	Piciformes	Picidae (Woodpeckers)
128409561	Bewick's Wren-128409561	Bewick's Wren	27362	Bewick's Wren	Troglodyte de Bewick	Thryomanes bewickii	Passeriformes	Troglodytidae (Wrens)
128411361	Common Raven-128411361	Common Raven	21624	Common Raven	Grand Corbeau	Corvus corax	Passeriformes	Corvidae (Crows, Jays, and Magpies)
128411771	Hutton's Vireo-128411771	Hutton's Vireo	19204	Hutton's Vireo	Viréo de Hutton	Vireo huttoni	Passeriformes	Vireonidae (Vireos, Shrike-Babblers, and Erpornis)
128412451	California Thrasher-128412451	California Thrasher	28054	California Thrasher	Moqueur de Californie	Toxostoma redivivum	Passeriformes	Mimidae (Mockingbirds and Thrashers)
128412861	Heermann's Gull-128412861	Heermann's Gull	6512	Heermann's Gull	Goéland de Heermann	Larus heermanni	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
151779881	Tawny Antpitta-151779881	Tawny Antpitta	14286	Tawny Antpitta	Grallaire de Quito	Grallaria quitensis	Passeriformes	Grallariidae (Antpittas)
153265931	Rufous-breasted Chat-Tyrant-153265931	Rufous-breasted Chat-Tyrant	17194	Rufous-breasted Chat-Tyrant	Pitajo à poitrine rousse	Ochthoeca rufipectoralis	Passeriformes	Tyrannidae (Tyrant Flycatchers)
172849401	Zeledon's Antbird-172849401	Zeledon's Antbird (Choco)	14055	Zeledon's Antbird	Alapi de Zeledon	Hafferia zeledoni	Passeriformes	Thamnophilidae (Typical Antbirds)
192044691	Collared Trogon-192044691	Collared Trogon (Orange-bellied)	9579	Collared Trogon	Trogon rosalba	Trogon collaris	Trogoniformes	Trogonidae (Trogons)
194035951	Fawn-breasted Tanager-194035951	Fawn-breasted Tanager	34917	Fawn-breasted Tanager	Tangara à dos noir	Pipraeidea melanonota	Passeriformes	Thraupidae (Tanagers and Allies)
194170131	Brown-billed Scythebill-194170131	Brown-billed Scythebill	14912	Brown-billed Scythebill	Grimpar à bec brun	Campylorhamphus pusillus	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)
194193141	Golden-bellied Starfrontlet-194193141	Golden-bellied Starfrontlet	4652	Golden-bellied Starfrontlet	Inca de Bonaparte	Coeligena bonapartei	Apodiformes	Trochilidae (Hummingbirds)
194221301	Buff-banded Mountain Tanager-194221301	Buff-banded Mountain Tanager	34902	Buff-banded Mountain Tanager	Tangara à poitrine fauve	Dubusia taeniata	Passeriformes	Thraupidae (Tanagers and Allies)
404534591	Barrow's Goldeneye-404534591	Barrow's Goldeneye	748	Barrow's Goldeneye	Garrot d'Islande	Bucephala islandica	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
410866401	Redpoll-410866401	Redpoll (Common)	32483	Redpoll	Sizerin flammé	Acanthis flammea	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
417305621	Redpoll-417305621	Redpoll (Common)	32483	Redpoll	Sizerin flammé	Acanthis flammea	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
417560771	Rüppell's Starling-417560771	Rüppell's Starling	27949	Rüppell's Starling	Choucador de Rüppell	Lamprotornis purpuroptera	Passeriformes	Sturnidae (Starlings)
418213531	Augur Buzzard-418213531	Augur Buzzard (Augur)	8538	Augur Buzzard	Buse augure	Buteo augur	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
419277831	Redpoll-419277831	Redpoll (Common)	32483	Redpoll	Sizerin flammé	Acanthis flammea	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
421418501	Golden-faced Tyrannulet-421418501	Golden-faced Tyrannulet (Golden-faced)	16806	Golden-faced Tyrannulet	Tyranneau à face d'or	Zimmerius chrysops	Passeriformes	Tyrannidae (Tyrant Flycatchers)
421733671	Band-tailed Pigeon-421733671	Band-tailed Pigeon (White-necked)	1966	Band-tailed Pigeon	Pigeon à queue barrée	Patagioenas fasciata	Columbiformes	Columbidae (Pigeons and Doves)
422045891	Crested Caracara-422045891	Crested Caracara (Northern)	11962	Crested Caracara	Caracara huppé	Caracara plancus	Falconiformes	Falconidae (Falcons and Caracaras)
461965411	Black-and-yellow Tanager-461965411	Black-and-yellow Tanager	35230	Black-and-yellow Tanager	Tangara loriot	Chrysothlypis chrysomelas	Passeriformes	Thraupidae (Tanagers and Allies)
467489401	Mangrove Yellow Warbler-467489401	Mangrove Yellow Warbler (Mexican)	34097	Mangrove Yellow Warbler	Paruline des mangroves	Setophaga petechia	Passeriformes	Parulidae (New World Warblers)
473592171	Pale-mandibled Aracari-473592171	Pale-mandibled Aracari (Pale-billed)	10889	Pale-mandibled Aracari	Araçari à bec clair	Pteroglossus erythropygius	Piciformes	Ramphastidae (Toucans)
473943911	Flame-rumped Tanager-473943911	Flame-rumped Tanager (Lemon-rumped)	34796	Flame-rumped Tanager	Tangara flamboyant	Ramphocelus flammigerus	Passeriformes	Thraupidae (Tanagers and Allies)
474599351	Crowned Woodnymph-474599351	Crowned Woodnymph (Green-crowned/Emerald-bellied)	4976	Crowned Woodnymph	Dryade couronnée	Thalurania colombica	Apodiformes	Trochilidae (Hummingbirds)
477460281	Silvery Grebe-477460281	Silvery Grebe (Andean)	6882	Silvery Grebe	Grèbe aux belles joues	Podiceps occipitalis	Podicipediformes	Podicipedidae (Grebes)
477460361	Silvery Grebe-477460361	Silvery Grebe (Andean)	6882	Silvery Grebe	Grèbe aux belles joues	Podiceps occipitalis	Podicipediformes	Podicipedidae (Grebes)
477461451	Andean Duck-477461451	Andean Duck (ferruginea)	780	Andean Duck	Érismature des Andes	Oxyura ferruginea	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
502697631	Hudsonian Whimbrel-502697631	Hudsonian Whimbrel	6011	Hudsonian Whimbrel	Courlis hudsonien	Numenius hudsonicus	Charadriiformes	Scolopacidae (Sandpipers and Allies)
503658691	Silver Gull-503658691	Silver Gull (Silver)	6463	Silver Gull	Mouette argentée	Chroicocephalus novaehollandiae	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
503704011	Silver Gull-503704011	Silver Gull (Silver)	6463	Silver Gull	Mouette argentée	Chroicocephalus novaehollandiae	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
514725941	Pale-mandibled Aracari-514725941	Pale-mandibled Aracari	10889	Pale-mandibled Aracari	Araçari à bec clair	Pteroglossus erythropygius	Piciformes	Ramphastidae (Toucans)
529819831	Little Heron-529819831	Little Heron	7673	Little Heron	Héron des mangroves	Butorides atricapilla	Pelecaniformes	Ardeidae (Herons, Egrets, and Bitterns)
530272901	White-crowned Lapwing-530272901	White-crowned Lapwing	5867	White-crowned Lapwing	Vanneau à tête blanche	Vanellus albiceps	Charadriiformes	Charadriidae (Plovers and Lapwings)
531171721	Brown-crowned Tchagra-531171721	Brown-crowned Tchagra	20083	Brown-crowned Tchagra	Tchagra à tête brune	Tchagra australis	Passeriformes	Malaconotidae (Bushshrikes and Allies)
531175931	Pearl-spotted Owlet-531175931	Pearl-spotted Owlet	9007	Pearl-spotted Owlet	Chevêchette perlée	Glaucidium perlatum	Strigiformes	Strigidae (Owls)
