Common Name	In Lightroom	In R2	In eBird	AKA
Acadian Flycatcher				
African Cuckoo-Hawk	Yes	Yes	Yes	
African Firefinch	No	No	No	
African Golden-Weaver	Yes	Yes	Yes	Holub's Golden-Weaver
African Goshawk	No			
African Harrier-Hawk	No			
African Jacana	Yes	Yes	Yes	
African Oystercatcher	No			
African Palm Swift	No	No	No	
African Sacred Ibis	Yes	Yes	Yes	
African Swamphen	No	No	No	
African Woolly-necked Stork	Yes	Yes	Yes	
Alder Flycatcher	See			Willow Flycatcher
Alpine Accentor	No jpg			
Altamira Oriole	No jpg			
Amethyst Sunbird	No jpg			
Andean Duck	Yes	Yes	Yes	
Andean Guan	No	No	No	
Andean Siskin	No	No	No	
Andean Solitaire	No	No	No	
Andean Teal	No	No	No	
Aplomado Falcon	Yes	Yes	Yes	
Ash-browed Spinetail	No jpg			
Augur Buzzard	Yes	Yes	Yes	
Australian Boobook	No jpg			
Australian Rufous Fantail	No jpg			
Azara's Spinetail	No jpg			
Azure Kingfisher	No jpg			
Band-winged Nightjar	No jpg			
Banded Stilt	No jpg			
Banded Wren	No jpg			
Bank Swallow	No jpg			
Bar-crested Antshrike	Yes	Yes	Yes	
Barred Becard	No jpg			
Barred Hawk	No jpg			
Bearded Bellbird	No jpg			
Bearded Vulture	No jpg			
Bearded Woodpecker	No jpg			
Black Antshrike	No jpg			
Black Falcon	No jpg			
Black Flowerpiercer	No jpg			
Black Guan	No jpg			
Black Hawk-Eagle	No jpg			
Black Inca	No jpg			
Black Oystercatcher	No jpg			
Black-and-white Hawk-Eagle	No jpg			
Black-bellied Wren	Yes	Yes	Yes	
Black-billed Cuckoo	No jpg			
Black-billed Magpie	Yes	Yes	Yes	
Black-billed Peppershrike	No jpg			
Black-breasted Kite	Yes	Yes	Yes	
Black-capped Flycatcher	No jpg			
Black-capped Hemispingus	No jpg			
Black-capped Pygmy-Tyrant	No jpg			
Black-chested Snake-Eagle	No jpg			
Black-chinned Mountain Tanager	No jpg			
Black-crowned Antpitta	Yes	Yes	Yes	
Black-eared Cuckoo	Yes	Yes	Yes	
Black-eared Hemispingus	No jpg			
Black-faced Antthrush	No jpg			
Black-faced Woodswallow	Yes	Yes	Yes	
Black-headed Gull	No jpg			
Black-headed Siskin	No jpg			
Black-headed Tanager	No jpg			
Black-headed Trogon	Yes	Yes	Yes	
Black-hooded Antshrike	No jpg			
Black-tailed Flycatcher	No jpg			
Black-tailed Nativehen	Yes	Yes	Yes	
Black-tailed Waxbill	Yes	Yes	Yes	
Black-thighed Puffleg	Yes	Yes	Yes	
Black-throated Bobwhite	No jpg			
Black-throated Shrike-Tanager	No jpg			
Black-vented Shearwater	Yes	Yes	Yes	
Black-winged Ground Dove	No jpg			
Blackish Rail	No jpg			
Blue Coua	Yes	Yes	Yes	
Blue Crane	Yes	Yes	Yes	
Blue Ground Dove	No jpg			
Blue-and-white Swallow	No jpg			
Blue-and-yellow Tanager	No jpg			
Blue-backed Manakin	No jpg			
Blue-billed Duck	No jpg			
Blue-black Grosbeak	No jpg			
Blue-capped Tanager	Yes	Yes	Yes	
Blue-chinned Sapphire	No jpg			
Blue-faced Honeyeater	No jpg			
Blue-tailed Trogon	No jpg			
Blue-throated Goldentail	No jpg			
Blue-throated Starfrontlet	No jpg			
Bluish Flowerpiercer	No jpg			
Bogota Rail	No jpg			
Bohemian Waxwing	Yes	Yes	Yes	
Bran-colored Flycatcher	No jpg			
Brandt's Cormorant	Yes	Yes	Yes	
Brewer's Blackbird	No jpg			
Brolga	Yes	Yes	Yes	
Bronzy Inca	No jpg			
Brown Goshawk	No jpg			
Brown Inca	No jpg			
Brown Snake-Eagle	Yes	Yes	Yes	
Brown Songlark	No jpg			
Brown-bellied Swallow	No jpg			
Brown-breasted Parakeet	No jpg			
Brown-headed Nuthatch	Yes	Yes	Yes	
Brubru	No jpg			
Buff-rumped Thornbill	Yes	Yes	Yes	
Buffy Tuftedcheek	No jpg			
Burchell's Coucal	Yes	Yes	Yes	
Burchell's Sandgrouse	Yes	Yes	Yes	
Cabanis's Ground-Sparrow	No jpg			
Cabanis's Wren	No jpg			
California Condor	Yes	Yes	Yes	
California Gull	No jpg			
California Quail	No jpg			
California Towhee	Yes	Yes	Yes	
Canada Jay	No jpg			
Canvasback	No jpg			
Cape Cormorant	No jpg			
Cape Griffon	No jpg			
Cape Teal	No jpg			
Capped Heron	No jpg			
Caribbean Martin	No jpg			
Carmiol's Tanager	No jpg			
Carolina Chickadee	No jpg			
Carrion Crow	No jpg			
Cassin's Kingbird	No jpg			
Channel-billed Toucan	No jpg			
Checker-throated Stipplethroat	No jpg			
Chestnut Quail-thrush	Yes			
Chestnut-bellied Hummingbird	No jpg			
Chestnut-crowned Babbler	No jpg			
Chestnut-headed Oropendola	Yes	Yes	Yes	
Chestnut-naped Antpitta	No jpg			
Chirruping Wedgebill	Yes	Yes	Yes	
Chivi Vireo	No jpg			
Choco Tyrannulet	No jpg			
Cinereous Conebill	No jpg			
Cinnamon-chested Bee-eater	Yes	Yes	No	
Clark's Nutcracker	Yes	Yes	Yes	
Cocoa Thrush	No jpg			
Cocos Booby	No jpg			
Collared Pratincole	No jpg			
Collared Sunbird	Yes	Yes	Yes	
Colombian Chachalaca	Yes	Yes	Yes	
Common Buzzard	No jpg			
Common Chaffinch	No jpg			
Common Chlorospingus	No jpg			
Common Murre	No jpg			
Common Pauraque	No jpg			
Common Ringed Plover	No jpg			
Common Wood-Pigeon	No jpg			
Coppery Emerald	No jpg			
Crab-Plover	Yes	Yes	Yes	
Crane Hawk	No jpg			
Crested Coua	No jpg			
Crossley's Vanga	No jpg			
Crowned Chat-Tyrant	No jpg			
Cryptic Warbler	No jpg			
Dark Newtonia	No jpg			
Dark-backed Weaver	Yes	Yes	Yes	
Dusky Chlorospingus	No jpg			
Dusky Lark	No jpg			
Dusky Piha	No jpg			
Eared Grebe	Yes	Yes	Yes	
Eastern Cattle-Egret	Yes	Yes	Yes	
Elegant Euphonia	No jpg			
Empress Brilliant	No jpg			
Euler's Flycatcher	No jpg			
Eurasian Blue Tit	No jpg			
Eurasian Jackdaw	No jpg			
Eurasian Kestrel	No jpg			
Eurasian Magpie	No jpg			
Eurasian Whimbrel	No jpg			
European Bee-eater	Yes	Yes	Yes	
European Greenfinch	No jpg			
Fairy Martin	No jpg			
Far Eastern Curlew	No jpg			
Fawn-throated Foliage-gleaner	No jpg			
Fiery-billed Aracari	No jpg			
Fish Crow	No jpg			
Flavescent Flycatcher	No jpg			
Florida Scrub-Jay	No jpg			
Forest Elaenia	No jpg			
Forest Fody	No jpg			
Forest Raven	No jpg			
Fork-tailed Palm Swift	No jpg			
Forty-spotted Pardalote	Yes	Yes	Yes	
Franklin's Gull	No jpg			
Fuscous Flycatcher	No jpg			
Fuscous Honeyeater	No jpg			
Gabar Goshawk	Yes	Yes	Yes	
Garden Emerald	No jpg			
Glossy Black-Cockatoo	No jpg			
Glossy-black Thrush	No jpg			
Golden-breasted Puffleg	Yes	Yes	Yes	
Golden-crowned Spadebill	No jpg			
Golden-crowned Tanager	No jpg			
Golden-crowned Warbler	No jpg			
Golden-fronted Woodpecker	No jpg			
Golden-headed Quetzal	No jpg			
Golden-tailed Woodpecker	Yes	Yes	Yes	
Golden-winged Manakin	No jpg			
Golden-winged Sparrow	No jpg			
Gorgeted Sunangel	No jpg			
Grace's Warbler	No jpg			
Grass-green Tanager	No jpg			
Grassland Yellow-Finch	No jpg			
Gray Partridge	Yes	Yes	Yes	
Gray-breasted Martin	No jpg			
Gray-cheeked Thrush	No jpg			
Gray-chested Dove	No jpg			
Gray-fronted Dove	No jpg			
