ML Catalog Number	Format	Common Name	Scientific Name	Background Species	Caption	Recordist	Date	Year	Month	Day	Time	Country	Country-State-County	State	County	Locality	Latitude	Longitude	Age/Sex	Behaviors	Playback	Captive	Collected	Specimen ID	Home Archive Catalog Number	Recorder	Microphone	Accessory	Partner Institution	eBird Checklist ID	Unconfirmed	Air Temp(¡C)	Water Temp(¡C)	Media notes	Observation Details	Parent Species	eBird Species Code	Taxon Category	Taxonomic Sort	Recordist 2	Average Community Rating	Number of Ratings	Asset Tags	Original Image Height	Original Image Width
531460881	Photo	African Hawk-Eagle	Aquila spilogaster			Denis Rivard	2014-09-24	2014	9	24	700	South Africa	ZA-LP	Limpopo		Kruger NP--Letaba-Olifants Rd	-23.9473511	31.6148758			Unspecified	FALSE	FALSE							S20314308						Aquila spilogaster	afrhae1	Species	8075		3	1		1688	3000
21597471	Photo	American Coot (Red-shielded)	Fulica americana (Red-shielded)			Denis Rivard	2015-11-24	2015	11	24	852	United States	US-FL-009	Florida	Brevard	Merritt Island NWR--Black Point Wildlife Drive	28.6575241	-80.7545391			Unspecified	FALSE	FALSE							S25981741					Very large and dense swimming groups.	Fulica americana	amecoo	Form	5503		1	1		62	500
477461451	Photo	Andean Duck (ferruginea)	Oxyura ferruginea ferruginea			Denis Rivard	2019-04-12	2019	4	12	915	Ecuador	EC-N	Napo		PN Antisana--pradera de los ibis y alrededores	-0.5076124	-78.2327279			Unspecified	FALSE	FALSE							S54867630						Oxyura ferruginea	rudduc2	Group	782		0	0		1374	2442
646295957	Photo	Apostlebird	Struthidea cinerea			Denis Rivard	2025-11-05	2025	11	5	1619	Australia	AU-SA-UNI	South Australia	Unincorporated SA	Ikara-Flinders Ranges National Park--Wilpena Pound Campground	-31.5252589	138.6027667			Unspecified	FALSE	FALSE							S282947450						Struthidea cinerea	apostl1	Species	21017		0	0		1688	3000
646295781	Photo	Apostlebird	Struthidea cinerea			Denis Rivard	2025-11-05	2025	11	5	1619	Australia	AU-SA-UNI	South Australia	Unincorporated SA	Ikara-Flinders Ranges National Park--Wilpena Pound Campground	-31.5252589	138.6027667			Unspecified	FALSE	FALSE							S282947450						Struthidea cinerea	apostl1	Species	21017		0	0		1688	3000
418213531	Photo	Augur Buzzard (Augur)	Buteo augur augur			Denis Rivard	2005-08-16	2005	8	16	1300	Tanzania	TZ-26-BA	Manyara	Babati	Tarangire NP	-4.002641	35.9783363			Unspecified	FALSE	FALSE							S15379289						Buteo augur	augbuz1	Group	8539		0	0		2700	4800
646204666	Photo	Australasian Darter	Anhinga novaehollandiae			Denis Rivard	2025-10-31	2025	10	31	1307	Australia	AU-NSW-BOT	New South Wales	Botany Bay	Sydney Airport Wetlands	-33.94222	151.1935			Unspecified	FALSE	FALSE							S282123952						Anhinga novaehollandiae	darter4	Species	7375		0	0		1687	3000
646981468	Photo	Australasian Figbird	Sphecotheres vieilloti			Denis Rivard	2025-11-25	2025	11	25	903	Australia	AU-NSW-RAN	New South Wales	Randwick	Centennial Park (Sydney)	-33.8977058	151.2341452			Unspecified	FALSE	FALSE							S286014189						Sphecotheres vieilloti	ausfig1	Species	19708		0	0		1688	3000
646979953	Photo	Australasian Figbird	Sphecotheres vieilloti			Denis Rivard	2025-11-24	2025	11	24	1521	Australia	AU-NSW-SYD	New South Wales	Sydney	Royal Botanic Gardens (Sydney)	-33.8638957	151.2167577			Unspecified	FALSE	FALSE							S285893084						Sphecotheres vieilloti	ausfig1	Species	19708		0	0		1687	3000
646971715	Photo	Australasian Shoveler	Spatula rhynchotis			Denis Rivard	2025-11-21	2025	11	21	1451	Australia	AU-TAS-GLE	Tasmania	Glenorchy	Goulds Lagoon Wildlife Sanctuary	-42.7646267	147.2414303			Unspecified	FALSE	FALSE							S285385643						Spatula rhynchotis	aussho1	Species	498		0	0		1688	3000
646369508	Photo	Australian Hobby	Falco longipennis			Denis Rivard	2025-11-06	2025	11	6	950	Australia	AU-SA-UNI	South Australia	Unincorporated SA	The Outback Hwy at Moralana Creek	-31.54972	138.42556			Unspecified	FALSE	FALSE							S283063153						Falco longipennis	aushob1	Species	12080		5	1		1687	3000
646518816	Photo	Australian Owlet-nightjar	Aegotheles cristatus			Denis Rivard	2025-11-10	2025	11	10	1545	Australia	AU-NSW-CON	New South Wales	Conargo	Cobb Highway at -35.333, 144.848	-35.333	144.848			Unspecified	FALSE	FALSE							S283855815						Aegotheles cristatus	auonig1	Species	3814		0	0		1688	3000
646539602	Photo	Australian Pratincole	Glareola isabella			Denis Rivard	2025-11-10	2025	11	10	1915	Australia	AU-NSW-CON	New South Wales	Conargo	Warwillah Rd, Wanganella (no access away from roadway)	-35.0735593	144.8609594			Unspecified	FALSE	FALSE							S283855987						Glareola isabella	auspra1	Species	6343		3	1		1688	3000
